URL,title,details
/Movie Scripts/2001: A Space Odyssey Script.html,2001: A Space Odyssey Script.,"{'writers': ['Stanley Kubrick', 'Arhur C. Clarke'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Adventure', 'Sci-Fi'], 'script_date': 'February 1989', 'release_date': None}"
/Movie Scripts/2012 Script.html,2012 Script.,"{'writers': ['Roland Emmerich', 'Harald Kloser'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller'], 'script_date': 'February 2008', 'release_date': 'November 2009'}"
/Movie Scripts/20th Century Women Script.html,20th Century Women Script.,"{'writers': ['Mike Mills'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Comedy', 'Drama'], 'script_date': None, 'release_date': 'October 2016'}"
/Movie Scripts/25th Hour Script.html,25th Hour Script.,"{'writers': ['David Benioff'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Crime', 'Drama'], 'script_date': 'April 2001', 'release_date': None}"
/Movie Scripts/28 Days Later Script.html,28 Days Later Script.,"{'writers': ['Alex Garland'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama', 'Horror', 'Sci-Fi'], 'script_date': None, 'release_date': 'June 2003'}"
/Movie Scripts/30 Minutes or Less Script.html,30 Minutes or Less Script.,"{'writers': ['Michael Diliberti', 'Matthew Sullivan'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Action', 'Adventure', 'Comedy'], 'script_date': 'December 2009', 'release_date': 'August 2011'}"
/Movie Scripts/42 Script.html,42 Script.,"{'writers': ['Brian Helgeland'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama'], 'script_date': 'July 2012', 'release_date': 'April 2013'}"
/Movie Scripts/44 Inch Chest Script.html,44 Inch Chest Script.,"{'writers': ['Louis Mellis', 'David Scinto'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Crime', 'Drama'], 'script_date': None, 'release_date': 'January 2010'}"
/Movie Scripts/48 Hrs. Script.html,48 Hrs. Script.,"{'writers': ['Steven E. De Souza', 'Walter Hill', 'Roger Spottiswoode', 'Larry Gross', 'Jeb Stuart'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Action', 'Comedy', 'Thriller'], 'script_date': None, 'release_date': None}"
/Movie Scripts/50-50 Script.html,50-50 Script.,"{'writers': ['Will Reiser'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Comedy', 'Drama'], 'script_date': 'July 2008', 'release_date': 'September 2011'}"
/Movie Scripts/500 Days of Summer Script.html,500 Days of Summer Script.,"{'writers': ['Scott Neustadter', 'Michael H. Weber'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Comedy', 'Drama', 'Romance'], 'script_date': None, 'release_date': 'July 2009'}"
/Movie Scripts/8 Mile Script.html,8 Mile Script.,"{'writers': ['Scott Silver'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama', 'Musical'], 'script_date': 'April 2001', 'release_date': None}"
/Movie Scripts/8MM Script.html,8MM Script.,"{'writers': ['Andrew Kevin Walker'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Mystery', 'Thriller'], 'script_date': 'May 1997', 'release_date': None}"
/Movie Scripts/9 Script.html,9 Script.,"{'writers': ['Pamela Pettler', 'Shane Acker'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Animation', 'Adventure', 'Drama', 'Fantasy', 'Sci-Fi'], 'script_date': None, 'release_date': 'September 2009'}"
/Movie Scripts/A Few Good Men Script.html,A Few Good Men Script.,"{'writers': ['Aaron Sorkin'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Crime', 'Drama', 'Mystery', 'Thriller'], 'script_date': 'July 1991', 'release_date': 'December 1992'}"
/Movie Scripts/A Good Person Script.html,A Good Person Script.,"{'writers': ['Zach Braff'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama'], 'script_date': None, 'release_date': 'March 2023'}"
/Movie Scripts/A Million Miles Away Script.html,A Million Miles Away Script.,"{'writers': ['Alejandra Marquez', 'Abella Hernan Jimenez', 'Bettina Gilois'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama'], 'script_date': None, 'release_date': 'September 2023'}"
/Movie Scripts/A Most Violent Year Script.html,A Most Violent Year Script.,"{'writers': ['J.C. Chandor'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Action', 'Crime', 'Drama'], 'script_date': None, 'release_date': 'January 2015'}"
/Movie Scripts/A Prayer Before Dawn Script.html,A Prayer Before Dawn Script.,"{'writers': ['Jonathan Hirschbein'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Crime', 'Drama'], 'script_date': 'February 2016', 'release_date': 'August 2018'}"
/Movie Scripts/A Quiet Place Script.html,A Quiet Place Script.,"{'writers': ['Bryan Woods', 'Scott Beck', 'John Krasinski'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama', 'Horror', 'Sci-Fi'], 'script_date': None, 'release_date': 'April 2018'}"
/Movie Scripts/A Real Pain Script.html,A Real Pain Script.,"{'writers': ['Jesse Eisenberg'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Comedy', 'Drama'], 'script_date': None, 'release_date': 'December 2024'}"
/Movie Scripts/A Scanner Darkly Script.html,A Scanner Darkly Script.,"{'writers': ['Charlie Kaufman'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Animation', 'Crime', 'Drama'], 'script_date': None, 'release_date': 'July 2006'}"
/Movie Scripts/A Serious Man Script.html,A Serious Man Script.,"{'writers': ['Joel Coen', 'Ethan Coen'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Comedy'], 'script_date': 'June 2007', 'release_date': 'October 2009'}"
/Movie Scripts/A.I. Script.html,A.I. Script.,"{'writers': ['Ian Watson', 'Brian Aldiss', 'Steven Spielberg'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Sci-Fi', 'Adventure', 'Drama'], 'script_date': 'January 2001', 'release_date': None}"
/Movie Scripts/Above the Law Script.html,Above the Law Script.,"{'writers': ['Steven Pressfield', 'Ronald Shusett', 'Andrew Davis', 'Steven Seagal'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Action'], 'script_date': 'April 1987', 'release_date': None}"
/Movie Scripts/Absolute Power Script.html,Absolute Power Script.,"{'writers': ['David Baldacci', 'William Goldman'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Thriller', 'Crime', 'Drama'], 'script_date': 'May 1996', 'release_date': None}"
"/Movie Scripts/Abyss, The Script.html","Abyss, The Script.","{'writers': ['James Cameron'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Action', 'Adventure', 'Sci-Fi', 'Thriller'], 'script_date': 'August 1988', 'release_date': None}"
/Movie Scripts/Ace Ventura: Pet Detective Script.html,Ace Ventura: Pet Detective Script.,"{'writers': ['Jack Bernstein', 'Tom Shadyac', 'Jim Carrey'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Comedy'], 'script_date': None, 'release_date': None}"
/Movie Scripts/Ad Astra Script.html,Ad Astra Script.,"{'writers': ['James Gray', 'Ethan Gross'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Adventure', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller'], 'script_date': 'August 2016', 'release_date': 'September 2019'}"
/Movie Scripts/Adaptation Script.html,Adaptation Script.,"{'writers': ['Charlie Kaufman', 'Donald Kaufman'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Comedy', 'Drama'], 'script_date': 'November 2000', 'release_date': None}"
"/Movie Scripts/Addams Family, The Script.html","Addams Family, The Script.","{'writers': ['Charles Addams', 'Caroline Thompson'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Comedy', 'Fantasy', 'Horror', 'Family'], 'script_date': 'April 1991', 'release_date': 'November 1991'}"
"/Movie Scripts/Adjustment Bureau, The Script.html","Adjustment Bureau, The Script.","{'writers': ['George Nolfi', 'Philip K Dick'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Romance', 'Sci-Fi', 'Thriller'], 'script_date': None, 'release_date': 'March 2011'}"
"/Movie Scripts/Adventures of Buckaroo Banzai Across the Eighth Dimension, The Script.html","Adventures of Buckaroo Banzai Across the Eighth Dimension, The Script.","{'writers': ['Earl Mac Rauch'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Adventure', 'Comedy', 'Romance', 'Sci-Fi'], 'script_date': 'March 1983', 'release_date': None}"
/Movie Scripts/Affliction Script.html,Affliction Script.,"{'writers': ['Russell Banks', 'Paul Schrader'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama'], 'script_date': 'December 1997', 'release_date': 'January 1999'}"
/Movie Scripts/After School Special Script.html,After School Special Script.,"{'writers': ['David H. Steinberg'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Comedy'], 'script_date': 'January 2000', 'release_date': None}"
/Movie Scripts/After.Life Script.html,After.Life Script.,"{'writers': ['Agnieszka Wojtowicz-Vosloo'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama', 'Horror', 'Thriller'], 'script_date': 'July 2008', 'release_date': 'April 2010'}"
/Movie Scripts/Agnes of God Script.html,Agnes of God Script.,"{'writers': ['John Pielmeier'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama', 'Mystery'], 'script_date': None, 'release_date': None}"
/Movie Scripts/Air Script.html,Air Script.,"{'writers': ['Alex Convery'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama'], 'script_date': None, 'release_date': 'April 2023'}"
/Movie Scripts/Air Force One Script.html,Air Force One Script.,"{'writers': ['Andrew W. Marlowe'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Action', 'Adventure', 'Drama', 'Thriller'], 'script_date': None, 'release_date': None}"
/Movie Scripts/Airplane Script.html,Airplane Script.,"{'writers': ['Jim Abrahams', ' David Zucker', 'Jerry Zucker'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Comedy', 'Romance'], 'script_date': 'June 1979', 'release_date': 'July 1980'}"
/Movie Scripts/Airplane 2: The Sequel Script.html,Airplane 2: The Sequel Script.,"{'writers': ['Ken Finkleman'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Comedy', 'Sci-Fi'], 'script_date': 'February 1982', 'release_date': 'December 1982'}"
/Movie Scripts/Aladdin Script.html,Aladdin Script.,"{'writers': ['Roger Allers', 'Ron Clements'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Animation', 'Family', 'Musical', 'Fantasy', 'Comedy'], 'script_date': 'December 1992', 'release_date': None}"
/Movie Scripts/Ali Script.html,Ali Script.,"{'writers': ['Stephen J Rivele', 'Christopher Wilkinson', 'Eric Roth', 'Michael Mann'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama'], 'script_date': None, 'release_date': 'December 2001'}"
/Movie Scripts/Alien Script.html,Alien Script.,"{'writers': ['Walter Hill', 'David Giler'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Action', 'Horror', 'Sci-Fi', 'Thriller'], 'script_date': 'June 1978', 'release_date': None}"
/Movie Scripts/Alien 3 Script.html,Alien 3 Script.,"{'writers': ['Rex Pickett'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Action', 'Drama', 'Horror', 'Sci-Fi', 'Thriller'], 'script_date': 'January 1991', 'release_date': None}"
/Movie Scripts/Alien Nation Script.html,Alien Nation Script.,"{'writers': [""Rockne O'Bannon"", 'James Cameron'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Crime', 'Drama', 'Sci-Fi'], 'script_date': 'October 1987', 'release_date': None}"
/Movie Scripts/Alien vs. Predator Script.html,Alien vs. Predator Script.,"{'writers': ['Peter Briggs'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Action', 'Horror', 'Sci-Fi', 'Thriller'], 'script_date': None, 'release_date': None}"
/Movie Scripts/Alien: Resurrection Script.html,Alien: Resurrection Script.,"{'writers': ['Joss Whedon'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Action', 'Horror', 'Sci-Fi', 'Thriller'], 'script_date': None, 'release_date': None}"
/Movie Scripts/Aliens Script.html,Aliens Script.,"{'writers': ['James Cameron'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Action', 'Horror', 'Sci-Fi', 'Thriller'], 'script_date': 'May 1985', 'release_date': None}"
/Movie Scripts/All About Eve Script.html,All About Eve Script.,"{'writers': ['Joseph Mankiewicz'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama'], 'script_date': None, 'release_date': None}"
/Movie Scripts/All About Steve Script.html,All About Steve Script.,"{'writers': ['Kim Barker'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Comedy'], 'script_date': 'November 2006', 'release_date': 'September 2009'}"
/Movie Scripts/All of Us Strangers Script.html,All of Us Strangers Script.,"{'writers': ['Andrew Haigh', 'Taichi Yamada'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama', 'Romance'], 'script_date': None, 'release_date': 'December 2023'}"
/Movie Scripts/All the King's Men Script.html,All the King's Men Script.,"{'writers': ['Robert Rossen'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama'], 'script_date': None, 'release_date': 'November 1949'}"
/Movie Scripts/All the President's Men Script.html,All the President's Men Script.,"{'writers': ['William Goldman'], 'genres': ['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy', 'Film-Noir', 'Horror', 'Musical', 'Mystery', 'Romance', 'Sci-Fi', 'Short', 'Thriller', 'War', 'Western', 'Drama', 'Thriller'], 'script_date': 'March 1975', 'release_date': None}"
